国籍,身高,年龄,俱乐部,位置,体重,姓名,号码,生日,惯用脚
中国,185CM,31岁,广州恒大淘宝,前锋,75KG,郜林,29号,1986-02-14,右脚
巴西,180CM,31岁,上海上港,前锋,85KG,胡尔克,10号,1986-07-25,左脚
中国,183CM,22岁,广州恒大淘宝,守门员,67KG,赵天赐(U23),39号,1995-03-20,右脚
中国,188CM,24岁,广州恒大淘宝,守门员,75KG,方镜淇,13号,1993-01-17,右脚
中国,175CM,20岁,广州富力,中场,63KG,黎宇扬(U23),37号,1997-09-24,右脚
中国,184CM,20岁,广州富力,守门员,83KG,龙文灏(U23),45号,1997-03-30,右脚
中国,188CM,33岁,广州富力,守门员,80KG,韩锋,25号,1983-12-05,右脚
中国,188CM,30岁,广州富力,守门员,78KG,程月磊,1号,1987-10-28,右脚
中国,186CM,32岁,河北华夏幸福,守门员,77KG,杨程,19号,1985-10-11,右脚
中国,186CM,22岁,河北华夏幸福,后卫,79KG,高准翼(U23),33号,1995-08-21,右脚
中国,193CM,24岁,河北华夏幸福,守门员,81KG,苏维超,34号,1993-03-02,右脚
中国,173CM,23岁,河北华夏幸福,后卫,60KG,吴国栋(U23),47号,1994-08-16,右脚
中国,193CM,31岁,河北华夏幸福,守门员,86KG,欧亚,1号,1986-02-14,右脚
中国,183CM,24岁,河北华夏幸福,后卫,76KG,赵宇豪,3号,1993-04-07,右脚
中国,180CM,27岁,河北华夏幸福,后卫,72KG,姜文骏,26号,1990-01-30,右脚
中国,192CM,24岁,河北华夏幸福,后卫,80KG,金洋洋,4号,1993-02-03,右脚
韩国,184CM,29岁,河北华夏幸福,后卫,80KG,金周荣,14号,1988-07-09,右脚
中国,182CM,26岁,河北华夏幸福,后卫,71KG,丁海峰,32号,1991-07-17,右脚
中国,184CM,28岁,河北华夏幸福,后卫,71KG,任航,23号,1989-02-23,右脚
中国,181CM,30岁,河北华夏幸福,后卫,80KG,赵明剑,2号,1987-11-22,右脚
中国,175CM,21岁,河北华夏幸福,中场,65KG,陈唐(U23),50号,1996-02-16,右脚
中国,183CM,21岁,河北华夏幸福,中场,73KG,车世伟(U23),35号,1996-10-30,右脚
中国,180CM,28岁,河北华夏幸福,中场,75KG,尹鸿博,15号,1989-10-30,右脚
中国,175CM,28岁,河北华夏幸福,中场,64KG,贾晓琛,8号,1989-01-19,右脚
中国,180CM,26岁,河北华夏幸福,中场,73KG,朱海威,17号,1991-10-09,右脚
中国,182CM,28岁,河北华夏幸福,中场,77KG,李行,30号,1989-09-19,右脚
中国,188CM,24岁,河北华夏幸福,中场,80KG,罗森文,6号,1993-01-16,右脚
中国,185CM,26岁,河北华夏幸福,中场,79KG,芦洋,18号,1991-03-03,右脚
中国,185CM,26岁,河北华夏幸福,中场,74KG,宋文杰,60号,1990-12-15,右脚
中国,175CM,28岁,河北华夏幸福,中场,71KG,张利峰,29号,1989-01-24,右脚
中国,185CM,28岁,河北华夏幸福,中场,84KG,张呈栋,28号,1989-02-09,右脚
中国,182CM,20岁,河北华夏幸福,前锋,76KG,徐天沅(U23),31号,1997-05-08,右脚
喀麦隆,189CM,31岁,河北华夏幸福,中场,82KG,姆比亚,25号,1986-05-20,右脚
中国,180CM,24岁,河北华夏幸福,前锋,64KG,李皓然,13号,1993-01-12,右脚
中国,185CM,22岁,河北华夏幸福,前锋,83KG,桂宏(U23),11号,1995-01-18,右脚
中国,174CM,31岁,河北华夏幸福,前锋,74KG,姜宁,7号,1986-09-01,右脚
中国,186CM,28岁,河北华夏幸福,前锋,82KG,董学升,9号,1989-05-22,右脚
阿根廷,173CM,32岁,河北华夏幸福,前锋,75KG,拉维奇,22号,1985-05-03,右脚
科特迪瓦,179CM,30岁,河北华夏幸福,前锋,66KG,热尔维尼奥,27号,1987-05-27,右脚
中国,177CM,20岁,广州富力,后卫,62KG,张坚浚(U23) ,50号,1997-06-30,右脚
中国,178CM,20岁,广州富力,后卫,64KG,陈伟铭(U23),40号,1997-04-09,右脚
中国,178CM,20岁,广州富力,后卫,73KG,黄政宇(U23),36号,1997-01-24,右脚
中国,190CM,27岁,广州富力,后卫,75KG,弋腾,18号,1990-02-22,右脚
中国,177CM,27岁,广州富力,后卫,74KG,唐淼,20号,1990-10-16,右脚
中国,178CM,28岁,广州富力,后卫,72KG,姜至鹏,11号,1989-03-06,左脚
冰岛,190CM,33岁,广州富力,后卫,80KG,奥特森,5号,1984-02-18,右脚
中国,191CM,27岁,广州富力,后卫,88KG,姜积弘,19号,1990-02-08,右脚
中国,173CM,18岁,广州富力,中场,64KG,赵柯达(U23),39号,1999-01-16,右脚
中国,173CM,21岁,广州富力,中场,75KG,杨万顺(U23),6号,1996-01-16,右脚
中国,181CM,19岁,广州富力,中场,64KG,马俊亮(U23),26号,1998-03-02,右脚
中国,177CM,25岁,广州富力,中场,74KG,张功,4号,1992-04-10,右脚
中国,193CM,23岁,天津权健,守门员,KG,张津(U23),18号,1994-06-07,右脚
巴西,176CM,29岁,河北华夏幸福,前锋,78KG,阿洛伊西奥,21号,1988-06-19,右脚
中国,192CM,30岁,天津权健,守门员,75KG,张鹭,1号,1987-09-06,右脚
中国,187CM,37岁,天津权健,守门员,80KG,杨君,22号,1980-06-10,右脚
中国,181CM,19岁,天津权健,后卫,69KG,钱宇淼(U23),23号,1998-02-07,右脚
中国,180CM,28岁,天津权健,后卫,72KG,张诚,27号,1989-06-28,右脚
中国,185CM,28岁,天津权健,后卫,79KG,刘盛,2号,1989-09-08,右脚
中国,190CM,22岁,天津权健,后卫,81KG,刘奕鸣(U23),4号,1995-02-28,右脚
中国,180CM,24岁,天津权健,后卫,70KG,储今朝,13号,1993-01-11,右脚
中国,180CM,24岁,天津权健,后卫,72KG,糜昊伦,25号,1993-01-10,右脚
中国,178CM,22岁,天津权健,后卫,KG,晏紫豪(U23),12号,1995-01-18,右脚
韩国,186CM,25岁,天津权健,后卫,69KG,权敬原,21号,1992-01-31,右脚
中国香港,186CM,32岁,天津权健,后卫,KG,基蓝马,15号,1985-10-13,右脚
中国,188CM,30岁,天津权健,后卫,80KG,杨善平,5号,1987-10-28,右脚
中国,176CM,24岁,天津权健,中场,73KG,黄龙,14号,1993-01-08,右脚
中国,CM,20岁,天津权健,中场,KG,张源(U23),24号,1997-01-28,右脚
中国,169CM,23岁,天津权健,中场,66KG,郑达伦(U23),16号,1994-02-11,右脚
中国,173CM,21岁,天津权健,中场,63KG,张修维(U23),8号,1996-03-13,左脚
中国,173CM,22岁,广州富力,中场,65KG,宁安(U23) ,15号,1995-10-08,右脚
中国,CM,22岁,广州富力,中场,KG,朱迪(U23) ,21号,1995-05-03,右脚
中国,170CM,24岁,广州富力,中场,65KG,曾超,14号,1993-01-23,右脚
中国,175CM,24岁,广州富力,中场,65KG,张晨龙,17号,1993-04-27,右脚
中国,179CM,22岁,广州富力,中场,67KG,麦嘉键(U23) ,24号,1995-10-19,右脚
中国,180CM,24岁,广州富力,中场,70KG,王嘉楠,28号,1993-05-31,右脚
中国,170CM,29岁,广州富力,中场,63KG,陈志钊,32号,1988-03-14,右脚
中国,178CM,28岁,广州富力,中场,68KG,李提香,35号,1989-09-09,右脚
巴西,177CM,28岁,广州富力,中场,72KG,乌索,8号,1989-03-10,右脚
巴西,168CM,29岁,广州富力,中场,68KG,雷纳迪尼奥,10号,1988-10-04,右脚
中国,168CM,32岁,广州富力,中场,68KG,卢琳,23号,1985-02-03,右脚
中国,177CM,23岁,广州富力,前锋,70KG,叶楚贵(U23),13号,1994-09-08,右脚
中国,188CM,22岁,广州富力,前锋,75KG,向柏旭(U23),3号,1995-08-09,右脚
澳大利亚,185CM,27岁,广州富力,前锋,72KG,吉安努,9号,1990-01-25,右脚
中国,187CM,19岁,上海上港,守门员,81KG,陈威(U23),34号,1998-02-14,右脚
以色列,180CM,30岁,广州富力,前锋,80KG,扎哈维,7号,1987-07-25,右脚
中国,185CM,20岁,上海上港,守门员,75KG,施晓东(U23),35号,1997-02-26,右脚
中国,188CM,28岁,上海上港,守门员,83KG,孙乐,22号,1989-09-17,右脚
中国,191CM,26岁,上海上港,守门员,83KG,颜骏凌,1号,1991-01-28,右脚
中国,178CM,20岁,上海上港,后卫,KG,魏来(U23),44号,1997-01-02,右脚
中国,175CM,19岁,上海上港,后卫,67KG,张华晨(U23),17号,1998-03-16,右脚
中国,185CM,20岁,上海上港,后卫,67KG,俞豪(U23),36号,1997-09-05,右脚
中国,188CM,20岁,上海上港,后卫,78KG,魏震(U23),13号,1997-02-12,右脚
中国,185CM,24岁,天津权健,中场,79KG,裴帅,6号,1993-01-14,右脚
中国,181CM,30岁,天津权健,中场,71KG,李星灿,29号,1987-09-28,右脚
中国,183CM,28岁,天津权健,中场,78KG,王杰,3号,1989-01-14,右脚
中国,171CM,28岁,天津权健,中场,54KG,孙可,38号,1989-08-26,右脚
中国,176CM,31岁,天津权健,中场,67KG,王晓龙,19号,1986-03-11,右脚
中国,176CM,30岁,天津权健,中场,68KG,王永珀,39号,1987-01-19,右脚
比利时,186CM,28岁,天津权健,中场,73KG,维特塞尔,28号,1989-01-12,右脚
中国,180CM,31岁,天津权健,中场,75KG,赵旭日,7号,1985-12-03,右脚
中国,180CM,22岁,天津权健,前锋,KG,苏缘杰(U23),17号,1995-04-14,右脚
法国,187CM,29岁,天津权健,前锋,84KG,莫德斯特,37号,1988-04-14,右脚
中国,176CM,24岁,上海上港,后卫,73KG,张卫,2号,1993-03-28,右脚
中国,182CM,24岁,上海上港,后卫,70KG,傅欢,23号,1993-07-12,右脚
中国,181CM,24岁,上海上港,后卫,79KG,贺惯,28号,1993-01-25,右脚
中国,187CM,32岁,广州富力,前锋,70KG,肖智,29号,1985-05-28,右脚
中国,185CM,29岁,上海上港,后卫,78KG,汪佳捷,5号,1988-11-15,右脚
中国,181CM,24岁,上海上港,后卫,67KG,张一,18号,1993-08-17,右脚
中国,180CM,28岁,上海上港,后卫,72KG,王燊超,4号,1989-02-08,右脚
中国,184CM,24岁,上海上港,后卫,80KG,石柯,27号,1993-01-08,右脚
葡萄牙,183CM,39岁,上海上港,后卫,78KG,卡瓦略,16号,1978-05-18,右脚
中国,184CM,20岁,上海上港,中场,80KG,雷文杰(U23),24号,1997-01-10,右脚
中国,183CM,20岁,上海上港,中场,73KG,高海生(U23),26号,1997-01-06,右脚
中国,178CM,22岁,上海上港,中场,72KG,郑致云(U23),29号,1995-02-17,右脚
中国,183CM,28岁,上海上港,中场,82KG,蔡慧康,6号,1989-10-10,右脚
中国,178CM,24岁,上海上港,中场,70KG,林创益,15号,1993-01-28,右脚
中国,177CM,19岁,上海上港,中场,72KG,陈彬彬(U23),37号,1998-06-10,右脚
中国,181CM,25岁,上海上港,中场,75KG,李圣龙,14号,1992-07-30,右脚
巴西,179CM,26岁,上海上港,中场,66KG,奥斯卡,8号,1991-09-09,右脚
乌兹别克斯坦,180CM,30岁,上海上港,中场,75KG,艾哈迈多夫,25号,1987-11-25,右脚
中国,186CM,20岁,上海上港,前锋,77KG,高志杰(U23),30号,1997-01-16,右脚
中国,174CM,26岁,上海上港,前锋,66KG,武磊,7号,1991-11-19,右脚
中国,183CM,30岁,上海上港,中场,70KG,于海,21号,1987-06-04,左脚
巴西,180CM,28岁,上海上港,前锋,77KG,埃尔克森,9号,1989-07-13,右脚
巴西,180CM,28岁,天津权健,前锋,72KG,帕托,10号,1989-09-02,右脚
中国,177CM,22岁,上海上港,前锋,75KG,韦世豪(U23),33号,1995-04-08,右脚
中国,185CM,28岁,上海上港,前锋,71KG,吕文君,11号,1989-03-11,右脚
中国,188CM,27岁,广州恒大淘宝,守门员,82KG,刘殿座,32号,1990-06-26,右脚
中国,191CM,30岁,广州恒大淘宝,守门员,83KG,曾诚,19号,1987-01-08,右脚
中国,176CM,17岁,广州恒大淘宝,后卫,68KG,陈泉江(U23),44号,2000-07-10,右脚
中国,180CM,21岁,广州恒大淘宝,后卫,72KG,陈泽鹏(U23),37号,1996-05-18,右脚
中国,185CM,24岁,广州恒大淘宝,后卫,77KG,王上源,12号,1993-06-02,右脚
中国,184CM,28岁,广州恒大淘宝,后卫,74KG,梅方,3号,1989-11-14,右脚
韩国,184CM,27岁,广州恒大淘宝,后卫,74KG,金英权,28号,1990-02-27,左脚
中国,186CM,28岁,广州恒大淘宝,后卫,78KG,张琳芃,5号,1989-05-09,右脚
中国,185CM,29岁,广州恒大淘宝,后卫,76KG,李学鹏,35号,1988-09-18,右脚
中国,183CM,30岁,广州恒大淘宝,后卫,75KG,张成林,21号,1987-01-20,右脚
中国,180CM,30岁,广州恒大淘宝,后卫,72KG,荣昊,14号,1987-04-07,右脚
中国,178CM,29岁,广州恒大淘宝,后卫,70KG,邹正,25号,1988-02-07,右脚
中国,187CM,32岁,广州恒大淘宝,后卫,78KG,冯潇霆,6号,1985-10-22,右脚
中国,177CM,18岁,广州恒大淘宝,中场,65KG,温家宝(U23),38号,1999-01-02,右脚
中国,181CM,20岁,广州恒大淘宝,中场,65KG,邓宇彪(U23),36号,1997-06-08,右脚
中国,179CM,23岁,广州恒大淘宝,中场,75KG,徐新(U23),4号,1994-04-19,右脚
中国,177CM,20岁,广州恒大淘宝,中场,63KG,冯博轩(U23),34号,1997-03-18,右脚
中国,180CM,24岁,广州恒大淘宝,中场,70KG,廖力生,2号,1993-04-29,右脚
中国,180CM,33岁,广州恒大淘宝,中场,70KG,刘健,17号,1984-08-20,右脚
中国,177CM,30岁,广州恒大淘宝,中场,65KG,黄博文,16号,1987-07-13,右脚
巴西,181CM,26岁,广州恒大淘宝,中场,80KG,高拉特,11号,1991-06-05,右脚
中国,181CM,37岁,广州恒大淘宝,中场,75KG,郑智,10号,1980-08-20,右脚
中国,185CM,22岁,广州恒大淘宝,前锋,71KG,王靖斌(U23),26号,1995-05-09,右脚
中国,178CM,29岁,广州恒大淘宝,中场,75KG,郑龙,27号,1988-04-15,右脚
中国,178CM,30岁,广州恒大淘宝,中场,65KG,于汉超,20号,1987-02-25,右脚
中国,177CM,30岁,广州恒大淘宝,前锋,63KG,张文钊,15号,1987-05-28,右脚
巴西,182CM,28岁,广州恒大淘宝,前锋,75KG,阿兰,7号,1989-07-10,右脚
巴西,171CM,31岁,广州恒大淘宝,前锋,64KG,穆里奇,30号,1986-06-16,右脚
